case,age_group,goal,method,valid,safe,score_before,score_after,norm_l1,norm_l2,n_changed,n_unavailable,n_hard_violations,evaluations,runtime_s,note
215,older_adult,weight_management,wachter,0,1,0.4276,0.6885,0.751,0.406,5,1,0,6001,1.295,evaluation_budget
215,older_adult,weight_management,dice_random,0,1,0.4276,0.4276,0.0,0.0,0,0,0,6001,1.34,evaluation_budget_exhausted
215,older_adult,weight_management,dice_genetic,0,1,0.4276,0.4276,0.0,0.0,0,0,0,6001,12.042,evaluation_budget_exhausted
215,older_adult,weight_management,greedy,1,1,0.4276,0.7147,0.9832,0.4275,6,0,0,877,0.125,
216,older_adult,balanced_nutrition,foodsense_de,1,1,0.2497,0.7476,1.7681,1.1169,4,0,0,2881,1.583,valid_and_plateaued
216,older_adult,balanced_nutrition,wachter,1,1,0.2497,0.7167,1.1979,0.5706,6,1,0,6001,5.365,evaluation_budget
216,older_adult,balanced_nutrition,dice_random,0,1,0.2497,0.2497,0.0,0.0,0,0,0,6001,1.541,evaluation_budget_exhausted
216,older_adult,balanced_nutrition,dice_genetic,0,1,0.2497,0.2497,0.0,0.0,0,0,0,6001,11.431,evaluation_budget_exhausted
216,older_adult,balanced_nutrition,greedy,0,1,0.2497,0.6871,1.7128,0.9127,4,0,0,576,0.285,
217,older_adult,balanced_nutrition,foodsense_de,0,1,0.0201,0.6826,1.754,1.0151,6,0,0,3121,0.727,plateaued_without_validity
217,older_adult,balanced_nutrition,wachter,0,0,0.0201,0.0789,1.0112,0.3904,9,0,1,6001,1.589,evaluation_budget
217,older_adult,balanced_nutrition,dice_random,0,0,0.0201,0.0201,0.0,0.0,0,0,1,6001,1.252,evaluation_budget_exhausted
217,older_adult,balanced_nutrition,dice_genetic,0,0,0.0201,0.0201,0.0,0.0,0,0,1,6001,12.043,evaluation_budget_exhausted
217,older_adult,balanced_nutrition,greedy,1,1,0.0201,0.7525,1.0262,0.501,5,0,0,918,0.145,
218,older_adult,balanced_nutrition,foodsense_de,0,1,0.0033,0.4741,0.6519,0.4817,2,0,0,5201,0.929,plateaued_without_validity
218,older_adult,balanced_nutrition,wachter,0,0,0.0033,0.0033,0.0279,0.0232,2,0,2,641,0.179,plateaued_without_validity
218,older_adult,balanced_nutrition,dice_random,0,0,0.0033,0.0033,0.0,0.0,0,0,2,6001,1.256,evaluation_budget_exhausted
218,older_adult,balanced_nutrition,dice_genetic,0,0,0.0033,0.0033,0.0,0.0,0,0,2,6001,12.492,evaluation_budget_exhausted
218,older_adult,balanced_nutrition,greedy,0,0,0.0033,0.0004,0.0572,0.0554,1,0,3,222,0.035,
219,older_adult,glycemic_control,foodsense_de,0,1,0.476,0.4867,0.0209,0.0127,1,0,0,641,0.157,plateaued_without_validity
219,older_adult,glycemic_control,wachter,0,1,0.476,0.4867,0.0209,0.0127,1,0,0,641,0.181,plateaued_without_validity
219,older_adult,glycemic_control,dice_random,0,1,0.476,0.476,0.0,0.0,0,0,0,6001,1.42,evaluation_budget_exhausted
219,older_adult,glycemic_control,dice_genetic,0,1,0.476,0.476,0.0,0.0,0,0,0,6001,13.516,evaluation_budget_exhausted
219,older_adult,glycemic_control,greedy,0,1,0.476,0.6616,0.3689,0.1879,4,0,0,694,0.109,
220,older_adult,glycemic_control,foodsense_de,0,1,0.4412,0.483,0.2586,0.1384,3,0,0,641,0.158,plateaued_without_validity
220,older_adult,glycemic_control,wachter,1,1,0.4412,0.7028,0.2697,0.199,2,0,0,6001,1.596,evaluation_budget
220,older_adult,glycemic_control,dice_random,1,1,0.4412,0.9397,1.202,1.1314,2,0,0,2013,0.881,
220,older_adult,glycemic_control,dice_genetic,0,1,0.4412,0.4412,0.0,0.0,0,0,0,6001,11.831,evaluation_budget_exhausted
220,older_adult,glycemic_control,greedy,1,1,0.4412,0.7342,0.3031,0.2353,2,0,0,258,0.032,
221,older_adult,weight_management,foodsense_de,0,1,0.6807,0.6689,0.0379,0.0352,1,0,0,641,0.2,plateaued_without_validity
221,older_adult,weight_management,wachter,0,1,0.6807,0.6767,0.1063,0.0554,3,0,0,641,0.174,plateaued_without_validity
221,older_adult,weight_management,dice_random,1,1,0.6807,0.7398,0.2113,0.177,2,0,0,2013,0.656,
221,older_adult,weight_management,dice_genetic,0,1,0.6807,0.6807,0.0,0.0,0,0,0,6001,11.37,evaluation_budget_exhausted
221,older_adult,weight_management,greedy,1,1,0.6807,0.7003,0.152,0.1194,2,0,0,244,0.033,
222,older_adult,weight_management,foodsense_de,0,1,0.0387,0.6881,7.0249,5.669,3,0,0,1081,0.245,plateaued_without_validity
222,older_adult,weight_management,wachter,0,1,0.0387,0.687,3.3292,1.3166,7,3,0,2721,0.664,plateaued_without_validity
222,older_adult,weight_management,dice_random,1,1,0.0387,0.733,6.8803,4.8181,2,1,0,2013,0.663,
222,older_adult,weight_management,dice_genetic,0,0,0.0387,0.0387,0.0,0.0,0,0,1,6001,11.748,evaluation_budget_exhausted
222,older_adult,weight_management,greedy,0,1,0.0387,0.6799,2.8155,1.9481,2,1,0,406,0.113,
223,older_adult,balanced_nutrition,foodsense_de,0,1,0.4625,0.473,0.0496,0.0332,2,0,0,641,0.147,plateaued_without_validity
223,older_adult,balanced_nutrition,wachter,1,1,0.4625,0.7819,1.0202,0.4199,9,3,0,3881,1.01,valid_and_plateaued
223,older_adult,balanced_nutrition,dice_random,0,1,0.4625,0.4625,0.0,0.0,0,0,0,6001,1.235,evaluation_budget_exhausted
223,older_adult,balanced_nutrition,dice_genetic,0,1,0.4625,0.4625,0.0,0.0,0,0,0,6001,12.061,evaluation_budget_exhausted
223,older_adult,balanced_nutrition,greedy,0,1,0.4625,0.6244,0.6756,0.3513,6,2,0,698,0.1,
224,older_adult,balanced_nutrition,foodsense_de,1,1,0.2905,0.7733,2.8136,1.5324,5,0,0,3441,0.72,valid_and_plateaued
224,older_adult,balanced_nutrition,wachter,0,1,0.2905,0.5756,3.6175,2.1846,6,1,0,881,0.241,plateaued_without_validity
224,older_adult,balanced_nutrition,dice_random,1,1,0.2905,0.7066,2.3213,1.4905,4,1,0,3013,0.884,
224,older_adult,balanced_nutrition,dice_genetic,0,1,0.2905,0.2905,0.0,0.0,0,0,0,6001,12.352,evaluation_budget_exhausted
224,older_adult,balanced_nutrition,greedy,1,1,0.2905,0.7767,2.5021,1.232,6,2,0,879,0.112,
225,older_adult,balanced_nutrition,foodsense_de,0,1,0.3702,0.3467,0.0737,0.0542,1,0,0,641,0.14,plateaued_without_validity
225,older_adult,balanced_nutrition,wachter,0,1,0.3702,0.6891,2.0192,1.0021,8,2,0,1841,0.449,plateaued_without_validity
225,older_adult,balanced_nutrition,dice_random,0,1,0.3702,0.3702,0.0,0.0,0,0,0,6001,1.218,evaluation_budget_exhausted
225,older_adult,balanced_nutrition,dice_genetic,0,1,0.3702,0.3702,0.0,0.0,0,0,0,6001,11.762,evaluation_budget_exhausted
225,older_adult,balanced_nutrition,greedy,0,1,0.3702,0.68,1.1937,0.7246,4,0,0,533,0.078,
226,older_adult,balanced_nutrition,foodsense_de,1,1,0.2326,0.7479,1.6194,1.0918,3,0,0,3561,0.647,valid_and_plateaued
226,older_adult,balanced_nutrition,wachter,1,1,0.2326,0.7687,2.2706,0.9083,7,2,0,2801,0.651,valid_and_plateaued
226,older_adult,balanced_nutrition,dice_random,0,1,0.2326,0.6956,3.6918,2.5187,4,1,0,4013,0.901,
226,older_adult,balanced_nutrition,dice_genetic,0,1,0.2326,0.2326,0.0,0.0,0,0,0,6001,10.537,evaluation_budget_exhausted
226,older_adult,balanced_nutrition,greedy,0,1,0.2326,0.5328,0.8408,0.733,2,1,0,214,0.023,
227,older_adult,balanced_nutrition,foodsense_de,1,1,0.3938,0.7366,1.4448,0.8443,3,0,0,3681,0.711,valid_and_plateaued
227,older_adult,balanced_nutrition,wachter,1,1,0.3938,0.7151,1.0687,0.4547,7,2,0,3281,0.769,valid_and_plateaued
227,older_adult,balanced_nutrition,dice_random,1,1,0.3938,0.7804,2.6716,2.4016,2,1,0,2013,0.667,
227,older_adult,balanced_nutrition,dice_genetic,0,1,0.3938,0.3938,0.0,0.0,0,0,0,6001,10.998,evaluation_budget_exhausted
227,older_adult,balanced_nutrition,greedy,1,1,0.3938,0.7025,1.6918,1.0553,3,1,0,464,0.065,
228,older_adult,weight_management,foodsense_de,0,1,0.3151,0.6918,2.3047,1.6161,4,0,0,3161,0.587,plateaued_without_validity
228,older_adult,weight_management,wachter,1,1,0.3151,0.7213,2.4145,1.0449,9,2,0,1121,0.273,valid_and_plateaued
228,older_adult,weight_management,dice_random,0,1,0.3151,0.3151,0.0,0.0,0,0,0,6001,1.178,evaluation_budget_exhausted
228,older_adult,weight_management,dice_genetic,0,1,0.3151,0.3151,0.0,0.0,0,0,0,6001,11.299,evaluation_budget_exhausted
228,older_adult,weight_management,greedy,0,1,0.3151,0.6672,1.2784,0.6687,5,2,0,612,0.083,
229,older_adult,glycemic_control,foodsense_de,0,1,0.1784,0.5327,1.0268,0.7864,2,0,0,2561,0.488,plateaued_without_validity
229,older_adult,glycemic_control,wachter,1,1,0.1784,0.7285,0.8889,0.4186,6,2,0,3641,0.832,valid_and_plateaued
229,older_adult,glycemic_control,dice_random,0,1,0.1784,0.1784,0.0,0.0,0,0,0,6001,1.219,evaluation_budget_exhausted
229,older_adult,glycemic_control,dice_genetic,0,1,0.1784,0.1784,0.0,0.0,0,0,0,6001,10.948,evaluation_budget_exhausted
229,older_adult,glycemic_control,greedy,0,1,0.1784,0.6473,0.9349,0.4686,4,2,0,688,0.101,
230,older_adult,balanced_nutrition,foodsense_de,0,1,0.2943,0.2896,0.0741,0.0571,2,0,0,641,0.482,plateaued_without_validity
230,older_adult,balanced_nutrition,wachter,0,0,0.2943,0.0798,1.2364,0.5683,9,3,1,4961,4.265,plateaued_without_validity
230,older_adult,balanced_nutrition,dice_random,0,0,0.2943,0.0753,1.5986,1.1639,4,1,1,3013,0.862,
230,older_adult,balanced_nutrition,dice_genetic,0,1,0.2943,0.2943,0.0,0.0,0,0,0,6001,11.721,evaluation_budget_exhausted
230,older_adult,balanced_nutrition,greedy,0,0,0.2943,0.0845,1.4378,0.8953,5,2,1,667,0.307,
231,older_adult,balanced_nutrition,foodsense_de,0,1,0.1587,0.1581,0.1732,0.1566,3,0,0,641,0.162,plateaued_without_validity
231,older_adult,balanced_nutrition,wachter,0,1,0.1587,0.5853,1.0403,0.4656,14,2,0,1721,0.501,plateaued_without_validity
231,older_adult,balanced_nutrition,dice_random,0,1,0.1587,0.1587,0.0,0.0,0,0,0,6001,1.37,evaluation_budget_exhausted
231,older_adult,balanced_nutrition,dice_genetic,0,1,0.1587,0.1587,0.0,0.0,0,0,0,6001,12.944,evaluation_budget_exhausted
231,older_adult,balanced_nutrition,greedy,0,1,0.1587,0.5544,0.2937,0.1722,6,0,0,815,0.124,
232,older_adult,weight_management,foodsense_de,0,1,0.4085,0.4121,0.2106,0.1228,3,0,0,641,0.143,plateaued_without_validity
232,older_adult,weight_management,wachter,1,1,0.4085,0.7314,1.5487,0.6576,9,1,0,3961,0.926,valid_and_plateaued
232,older_adult,weight_management,dice_random,0,1,0.4085,0.4085,0.0,0.0,0,0,0,6001,1.289,evaluation_budget_exhausted
232,older_adult,weight_management,dice_genetic,0,1,0.4085,0.4085,0.0,0.0,0,0,0,6001,12.044,evaluation_budget_exhausted
232,older_adult,weight_management,greedy,1,1,0.4085,0.7824,1.3803,0.6297,7,1,0,1114,0.163,
233,older_adult,balanced_nutrition,foodsense_de,0,1,0.3022,0.6525,1.3871,0.7162,4,0,0,4081,2.186,plateaued_without_validity
233,older_adult,balanced_nutrition,wachter,0,1,0.3022,0.6843,1.2852,0.5525,7,0,0,6001,4.825,plateaued_without_validity
233,older_adult,balanced_nutrition,dice_random,0,1,0.3022,0.3022,0.0,0.0,0,0,0,6001,1.277,evaluation_budget_exhausted
233,older_adult,balanced_nutrition,dice_genetic,0,1,0.3022,0.3022,0.0,0.0,0,0,0,6001,11.536,evaluation_budget_exhausted
233,older_adult,balanced_nutrition,greedy,0,1,0.3022,0.646,1.0,0.6189,3,0,0,403,0.161,
234,older_adult,balanced_nutrition,foodsense_de,0,1,0.5163,0.5093,0.0272,0.0213,1,0,0,641,0.436,plateaued_without_validity
234,older_adult,balanced_nutrition,wachter,0,1,0.5163,0.5093,0.0272,0.0213,1,0,0,641,0.625,plateaued_without_validity
234,older_adult,balanced_nutrition,dice_random,0,1,0.5163,0.5163,0.0,0.0,0,0,0,6001,1.08,evaluation_budget_exhausted
234,older_adult,balanced_nutrition,dice_genetic,0,1,0.5163,0.5163,0.0,0.0,0,0,0,6001,10.871,evaluation_budget_exhausted
234,older_adult,balanced_nutrition,greedy,0,1,0.5163,0.5687,0.1973,0.1221,3,0,0,352,0.117,
235,older_adult,weight_management,foodsense_de,0,1,0.1813,0.1969,0.0275,0.0209,1,0,0,641,0.158,plateaued_without_validity
235,older_adult,weight_management,wachter,0,1,0.1813,0.4752,0.8567,0.3737,11,2,0,801,0.231,plateaued_without_validity
235,older_adult,weight_management,dice_random,0,1,0.1813,0.1813,0.0,0.0,0,0,0,6001,1.34,evaluation_budget_exhausted
235,older_adult,weight_management,dice_genetic,0,1,0.1813,0.1813,0.0,0.0,0,0,0,6001,12.399,evaluation_budget_exhausted
235,older_adult,weight_management,greedy,0,1,0.1813,0.6616,0.543,0.236,7,1,0,1048,0.224,
236,older_adult,balanced_nutrition,foodsense_de,0,1,0.3148,0.656,1.231,0.8054,5,0,0,1401,0.292,plateaued_without_validity
236,older_adult,balanced_nutrition,wachter,1,1,0.3148,0.768,1.2193,0.7109,7,2,0,2921,0.674,valid_and_plateaued
236,older_adult,balanced_nutrition,dice_random,0,1,0.3148,0.3148,0.0,0.0,0,0,0,6001,1.184,evaluation_budget_exhausted
236,older_adult,balanced_nutrition,dice_genetic,0,1,0.3148,0.3148,0.0,0.0,0,0,0,6001,11.165,evaluation_budget_exhausted
236,older_adult,balanced_nutrition,greedy,1,1,0.3148,0.7264,1.2246,0.6628,5,0,0,733,0.098,
237,older_adult,glycemic_control,foodsense_de,0,1,0.5856,0.5585,0.0932,0.0437,3,0,0,641,0.165,plateaued_without_validity
237,older_adult,glycemic_control,wachter,0,1,0.5856,0.5585,0.0932,0.0437,3,0,0,641,0.208,plateaued_without_validity
237,older_adult,glycemic_control,dice_random,1,1,0.5856,0.7046,0.1323,0.0615,4,0,0,2013,0.805,
237,older_adult,glycemic_control,dice_genetic,0,1,0.5856,0.5856,0.0,0.0,0,0,0,6001,12.887,evaluation_budget_exhausted
237,older_adult,glycemic_control,greedy,1,1,0.5856,0.722,0.1676,0.09,4,0,0,324,0.05,
238,older_adult,glycemic_control,foodsense_de,0,1,0.5844,0.5663,0.0669,0.035,3,0,0,641,0.15,plateaued_without_validity
238,older_adult,glycemic_control,wachter,1,1,0.5844,0.7515,0.4829,0.1927,10,1,0,2601,0.739,valid_and_plateaued
238,older_adult,glycemic_control,dice_random,1,1,0.5844,0.7899,0.712,0.6461,4,1,0,2013,0.746,
238,older_adult,glycemic_control,dice_genetic,0,1,0.5844,0.5844,0.0,0.0,0,0,0,6001,12.839,evaluation_budget_exhausted
238,older_adult,glycemic_control,greedy,1,1,0.5844,0.7437,0.2062,0.1441,4,0,0,312,0.048,
239,older_adult,balanced_nutrition,foodsense_de,0,1,0.5244,0.5407,0.11,0.0709,2,0,0,641,0.143,plateaued_without_validity
239,older_adult,balanced_nutrition,wachter,0,1,0.5244,0.5438,0.088,0.0504,2,0,0,641,0.19,plateaued_without_validity
239,older_adult,balanced_nutrition,dice_random,1,1,0.5244,0.7511,0.6076,0.5027,3,0,0,2013,0.701,
239,older_adult,balanced_nutrition,dice_genetic,0,1,0.5244,0.5244,0.0,0.0,0,0,0,6001,11.939,evaluation_budget_exhausted
239,older_adult,balanced_nutrition,greedy,1,1,0.5244,0.756,0.2535,0.1606,3,0,0,279,0.039,
240,older_adult,weight_management,foodsense_de,1,1,0.3413,0.7192,7.1818,6.2469,3,0,0,2761,0.48,valid_and_plateaued
240,older_adult,weight_management,wachter,1,1,0.3413,0.7204,6.0182,2.1504,9,3,0,1801,0.426,valid_and_plateaued
240,older_adult,weight_management,dice_random,1,1,0.3413,0.7716,8.9091,5.2067,5,3,0,5013,1.121,
240,older_adult,weight_management,dice_genetic,0,1,0.3413,0.3413,0.0,0.0,0,0,0,6001,10.604,evaluation_budget_exhausted
240,older_adult,weight_management,greedy,0,1,0.3413,0.6803,4.5227,2.2142,6,1,0,780,0.089,
241,older_adult,balanced_nutrition,foodsense_de,0,1,0.369,0.4786,0.0048,0.0022,0,0,0,641,0.145,plateaued_without_validity
241,older_adult,balanced_nutrition,wachter,0,1,0.369,0.4786,0.0048,0.0022,0,0,0,641,0.179,plateaued_without_validity
241,older_adult,balanced_nutrition,dice_random,1,1,0.369,0.7882,0.6226,0.4541,2,2,0,3013,0.93,
241,older_adult,balanced_nutrition,dice_genetic,0,1,0.369,0.369,0.0,0.0,0,0,0,6001,12.038,evaluation_budget_exhausted
241,older_adult,balanced_nutrition,greedy,1,1,0.369,0.7749,0.149,0.1442,1,1,0,276,0.041,
242,older_adult,weight_management,foodsense_de,0,1,0.5381,0.5632,0.0765,0.0543,2,0,0,641,0.461,plateaued_without_validity
242,older_adult,weight_management,wachter,1,1,0.5381,0.7423,0.7354,0.3258,6,1,0,5481,3.825,valid_and_plateaued
242,older_adult,weight_management,dice_random,1,1,0.5381,0.7495,2.2169,1.9469,4,1,0,2013,0.645,
242,older_adult,weight_management,dice_genetic,0,1,0.5381,0.5381,0.0,0.0,0,0,0,6001,11.616,evaluation_budget_exhausted
242,older_adult,weight_management,greedy,1,1,0.5381,0.7327,0.7516,0.3935,5,1,0,515,0.195,
243,older_adult,weight_management,foodsense_de,0,1,0.508,0.5066,0.0067,0.0037,0,0,0,641,0.504,plateaued_without_validity
243,older_adult,weight_management,wachter,1,1,0.508,0.7304,0.244,0.125,5,2,0,3681,3.362,valid_and_plateaued
243,older_adult,weight_management,dice_random,1,1,0.508,0.7096,0.2828,0.2761,1,1,0,2013,2.446,
243,older_adult,weight_management,dice_genetic,0,1,0.508,0.508,0.0,0.0,0,0,0,6001,12.196,evaluation_budget_exhausted
243,older_adult,weight_management,greedy,1,1,0.508,0.7135,0.1672,0.1157,2,1,0,508,0.251,
244,older_adult,weight_management,foodsense_de,0,1,0.4941,0.4965,0.0161,0.0067,0,0,0,641,0.469,plateaued_without_validity
244,older_adult,weight_management,wachter,1,1,0.4941,0.7279,0.5586,0.2496,6,1,0,3721,2.944,valid_and_plateaued
244,older_adult,weight_management,dice_random,0,1,0.4941,0.4941,0.0,0.0,0,0,0,6001,1.259,evaluation_budget_exhausted
244,older_adult,weight_management,dice_genetic,0,1,0.4941,0.4941,0.0,0.0,0,0,0,6001,11.571,evaluation_budget_exhausted
244,older_adult,weight_management,greedy,1,1,0.4941,0.7895,0.6103,0.3894,3,0,0,510,0.226,
245,older_adult,balanced_nutrition,foodsense_de,1,1,0.264,0.7888,2.1042,1.0225,8,0,0,3521,2.067,valid_and_plateaued
245,older_adult,balanced_nutrition,wachter,0,1,0.264,0.6768,2.125,0.991,10,1,0,1881,1.823,plateaued_without_validity
245,older_adult,balanced_nutrition,dice_random,0,1,0.264,0.264,0.0,0.0,0,0,0,6001,1.287,evaluation_budget_exhausted
245,older_adult,balanced_nutrition,dice_genetic,0,1,0.264,0.264,0.0,0.0,0,0,0,6001,11.889,evaluation_budget_exhausted
245,older_adult,balanced_nutrition,greedy,0,1,0.264,0.5693,1.0437,0.6831,5,0,0,421,0.171,
246,older_adult,glycemic_control,foodsense_de,0,1,0.1522,0.141,0.0175,0.0098,1,0,0,641,0.155,plateaued_without_validity
246,older_adult,glycemic_control,wachter,1,1,0.1522,0.7405,0.6784,0.3359,8,1,0,3841,1.064,valid_and_plateaued
246,older_adult,glycemic_control,dice_random,0,1,0.1522,0.1522,0.0,0.0,0,0,0,6001,1.41,evaluation_budget_exhausted
246,older_adult,glycemic_control,dice_genetic,0,1,0.1522,0.1522,0.0,0.0,0,0,0,6001,12.894,evaluation_budget_exhausted
246,older_adult,glycemic_control,greedy,1,1,0.1522,0.761,0.6677,0.3672,5,1,0,1093,0.163,
247,older_adult,glycemic_control,foodsense_de,0,1,0.344,0.4188,0.533,0.2443,5,0,0,641,0.144,plateaued_without_validity
247,older_adult,glycemic_control,wachter,0,1,0.344,0.4169,0.5601,0.2462,5,0,0,641,0.173,plateaued_without_validity
247,older_adult,glycemic_control,dice_random,1,1,0.344,0.7118,4.4416,2.7767,7,1,0,2013,0.639,
247,older_adult,glycemic_control,dice_genetic,0,1,0.344,0.344,0.0,0.0,0,0,0,6001,11.48,evaluation_budget_exhausted
247,older_adult,glycemic_control,greedy,0,1,0.344,0.6919,2.8173,1.4089,8,1,0,519,0.063,
248,older_adult,weight_management,foodsense_de,0,1,0.5291,0.5287,0.0453,0.0307,2,0,0,641,0.138,plateaued_without_validity
248,older_adult,weight_management,wachter,0,1,0.5291,0.5287,0.0453,0.0307,2,0,0,641,0.168,plateaued_without_validity
248,older_adult,weight_management,dice_random,1,1,0.5291,0.7552,1.1849,0.8293,4,1,0,4013,0.959,
248,older_adult,weight_management,dice_genetic,0,1,0.5291,0.5291,0.0,0.0,0,0,0,6001,11.195,evaluation_budget_exhausted
248,older_adult,weight_management,greedy,1,1,0.5291,0.7036,0.6491,0.3761,5,1,0,620,0.084,
249,older_adult,weight_management,foodsense_de,0,1,0.3391,0.6572,0.6805,0.3749,4,0,0,1561,0.3,plateaued_without_validity
249,older_adult,weight_management,wachter,0,1,0.3391,0.6947,0.6931,0.2716,8,2,0,2561,0.616,plateaued_without_validity
249,older_adult,weight_management,dice_random,0,1,0.3391,0.3391,0.0,0.0,0,0,0,6001,1.22,evaluation_budget_exhausted
249,older_adult,weight_management,dice_genetic,0,1,0.3391,0.3391,0.0,0.0,0,0,0,6001,11.129,evaluation_budget_exhausted
249,older_adult,weight_management,greedy,0,1,0.3391,0.6875,0.434,0.2479,3,1,0,612,0.076,
250,older_adult,balanced_nutrition,foodsense_de,0,1,0.5821,0.5807,0.0016,0.0008,0,0,0,641,0.136,plateaued_without_validity
250,older_adult,balanced_nutrition,wachter,0,1,0.5821,0.5807,0.0016,0.0008,0,0,0,641,0.168,plateaued_without_validity
250,older_adult,balanced_nutrition,dice_random,0,1,0.5821,0.5821,0.0,0.0,0,0,0,6001,1.2,evaluation_budget_exhausted
250,older_adult,balanced_nutrition,dice_genetic,0,1,0.5821,0.5821,0.0,0.0,0,0,0,6001,10.958,evaluation_budget_exhausted
250,older_adult,balanced_nutrition,greedy,1,1,0.5821,0.7649,0.1412,0.1159,2,0,0,466,0.06,
251,older_adult,glycemic_control,foodsense_de,0,1,0.4208,0.4232,0.0132,0.0047,0,0,0,641,0.15,plateaued_without_validity
251,older_adult,glycemic_control,wachter,1,1,0.4208,0.7548,0.7924,0.4621,8,1,0,3521,0.864,valid_and_plateaued
251,older_adult,glycemic_control,dice_random,0,1,0.4208,0.4208,0.0,0.0,0,0,0,6001,1.296,evaluation_budget_exhausted
251,older_adult,glycemic_control,dice_genetic,0,1,0.4208,0.4208,0.0,0.0,0,0,0,6001,12.505,evaluation_budget_exhausted
251,older_adult,glycemic_control,greedy,0,1,0.4208,0.6585,0.3715,0.2348,3,1,0,750,0.11,
252,older_adult,balanced_nutrition,foodsense_de,0,1,0.35,0.3435,0.0144,0.0076,1,0,0,641,0.153,plateaued_without_validity
252,older_adult,balanced_nutrition,wachter,0,1,0.35,0.3435,0.0144,0.0076,1,0,0,641,0.184,plateaued_without_validity
252,older_adult,balanced_nutrition,dice_random,0,1,0.35,0.35,0.0,0.0,0,0,0,6001,1.359,evaluation_budget_exhausted
252,older_adult,balanced_nutrition,dice_genetic,0,1,0.35,0.35,0.0,0.0,0,0,0,6001,11.995,evaluation_budget_exhausted
252,older_adult,balanced_nutrition,greedy,0,1,0.35,0.5093,0.1691,0.1188,3,0,0,572,0.088,
253,older_adult,glycemic_control,foodsense_de,0,1,0.4813,0.4786,0.169,0.086,4,0,0,641,0.137,plateaued_without_validity
253,older_adult,glycemic_control,wachter,1,1,0.4813,0.7371,0.916,0.4243,8,2,0,2561,0.623,valid_and_plateaued
253,older_adult,glycemic_control,dice_random,1,1,0.4813,0.7495,1.1214,0.9563,5,1,0,2013,0.621,
253,older_adult,glycemic_control,dice_genetic,0,1,0.4813,0.4813,0.0,0.0,0,0,0,6001,11.406,evaluation_budget_exhausted
253,older_adult,glycemic_control,greedy,0,1,0.4813,0.6813,0.9627,0.5763,6,0,0,520,0.069,
254,older_adult,balanced_nutrition,foodsense_de,0,1,0.3397,0.3693,0.2319,0.1239,3,0,0,641,0.154,plateaued_without_validity
254,older_adult,balanced_nutrition,wachter,1,1,0.3397,0.7994,1.9908,0.9091,10,2,0,3601,0.957,valid_and_plateaued
254,older_adult,balanced_nutrition,dice_random,1,1,0.3397,0.8603,2.9387,2.2113,6,2,0,3013,0.919,
254,older_adult,balanced_nutrition,dice_genetic,0,1,0.3397,0.3397,0.0,0.0,0,0,0,6001,11.656,evaluation_budget_exhausted
254,older_adult,balanced_nutrition,greedy,1,1,0.3397,0.7625,0.998,0.5843,5,1,0,421,0.055,
255,older_adult,glycemic_control,foodsense_de,0,1,0.0,0.6876,1.6634,0.9502,4,0,0,2441,0.528,plateaued_without_validity
255,older_adult,glycemic_control,wachter,0,0,0.0,0.0006,0.0333,0.0212,1,0,3,641,0.181,plateaued_without_validity
255,older_adult,glycemic_control,dice_random,0,0,0.0,0.0001,0.3665,0.3338,2,1,4,2013,0.709,
255,older_adult,glycemic_control,dice_genetic,0,0,0.0,0.0,0.0,0.0,0,0,6,6001,11.147,evaluation_budget_exhausted
255,older_adult,glycemic_control,greedy,0,0,0.0,0.0001,0.2819,0.2495,2,1,4,258,0.036,
256,older_adult,glycemic_control,foodsense_de,1,1,0.0,0.7005,1.8649,0.9095,8,0,0,5641,1.068,valid_and_plateaued
256,older_adult,glycemic_control,wachter,0,0,0.0,0.0,1.0643,0.4052,10,3,5,3641,0.926,plateaued_without_validity
256,older_adult,glycemic_control,dice_random,0,0,0.0,0.0,0.0,0.0,0,0,6,6001,1.174,evaluation_budget_exhausted
256,older_adult,glycemic_control,dice_genetic,0,0,0.0,0.0,0.0,0.0,0,0,6,6001,11.504,evaluation_budget_exhausted
256,older_adult,glycemic_control,greedy,0,0,0.0,0.0001,1.0758,0.5551,5,2,4,761,0.117,
257,older_adult,weight_management,foodsense_de,1,1,0.0,0.7164,3.3887,2.4248,9,0,0,2281,0.524,valid_and_plateaued
257,older_adult,weight_management,wachter,0,0,0.0,0.0,2.0163,0.7165,14,5,8,1721,0.505,plateaued_without_validity
257,older_adult,weight_management,dice_random,0,0,0.0,0.007,2.7915,2.2481,7,0,2,2013,0.679,
257,older_adult,weight_management,dice_genetic,0,0,0.0,0.0,0.0,0.0,0,0,7,6001,12.436,evaluation_budget_exhausted
257,older_adult,weight_management,greedy,0,0,0.0,0.0007,1.7492,0.7891,9,1,3,563,0.088,
258,older_adult,balanced_nutrition,foodsense_de,0,1,0.286,0.2521,0.2097,0.1145,4,0,0,641,0.165,plateaued_without_validity
258,older_adult,balanced_nutrition,wachter,1,1,0.286,0.7878,2.4226,1.0594,12,3,0,2041,0.532,valid_and_plateaued
258,older_adult,balanced_nutrition,dice_random,1,1,0.286,0.7541,2.7914,2.2904,6,0,0,3013,0.94,
258,older_adult,balanced_nutrition,dice_genetic,0,1,0.286,0.286,0.0,0.0,0,0,0,6001,12.394,evaluation_budget_exhausted
258,older_adult,balanced_nutrition,greedy,1,1,0.286,0.7706,1.6322,0.9768,7,1,0,896,0.14,
